"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"593",1274,"relu",0.002,"(10,)",100,"lbfgs",14.5,0.694572713643178,0.0389346287475297,0.0658408220042475,0.0658351182937622,3806723,0,0.161126930499449,0.161112785339355,9305121.5,0,0.6875,0,1
"674",1454,"relu",5e-04,"(5,)",100,"lbfgs",14.5,0.670194902548726,0.0230749001270076,0.0574374939897098,0.0574326515197754,3324484.5,0,0.154984097520355,0.154970049858093,8966285,0,0.671875,0,1
"683",1262,"relu",0.002,"(5,)",100,"lbfgs",14.5,0.671934032983508,0.0290657284825898,0.0574762299875147,0.0574713945388794,3336051.5,0,0.152486942482938,0.152473449707031,8820381,0,0.645833333333333,0,1
"722",1661,"relu",1e-04,"(10,)",200,"lbfgs",14.5,0.730899550224888,0.034357650628808,0.128367304991116,0.128359317779541,7411144,0,0.159419688920025,0.159438967704773,9194435,0,0.776041666666667,0,1
"768",1157,"relu",0.001,"(2,)",200,"lbfgs",14.5,0.654512743628186,0.0349468283806404,0.00344444447546266,0.00344467163085938,199828,0,0.146515768989048,0.146505117416382,8492806,0,0.640625,0,1
"812",1649,"relu",1e-04,"(5,)",200,"lbfgs",14.5,0.70304347826087,0.0367796277957506,0.116370451956755,0.116360068321228,6707106,0,0.155415130546317,0.155401229858398,8979866.5,0,0.697916666666667,0,1
"872",1472,"relu",5e-04,"(10,)",400,"lbfgs",14.5,0.750059970014992,0.0312257683273001,0.208028190420009,0.208016157150269,12020355,0,0.159113390982384,0.159099340438843,9221718,0,0.796875,0,1
"877",1376,"relu",0.001,"(10,)",400,"lbfgs",14.5,0.737916041979011,0.0245877244304609,0.140203499991912,0.140193104743958,8107554,0,0.158466349967057,0.15845263004303,9168434,0,0.765625,0,1
"923",1580,"relu",2e-04,"(20,)",400,"lbfgs",14.5,0.765697151424288,0.0328374029940075,6.14424434499961,0.385947942733765,30687575.5,0,3.18496339749981,0.208693861961365,16941271,0,0.78125,0,1
"931",1388,"relu",0.001,"(20,)",400,"lbfgs",14.5,0.751784107946027,0.017983406691532,6.10147018139833,0.383243083953857,30356093,0,3.19863485099631,0.22300910949707,17429001.5,0,0.78125,0,1
"1013",1571,"relu",2e-04,"(10,)",800,"lbfgs",14.5,0.744812593703148,0.0157494378691941,0.161979843047448,0.161965370178223,9376929.5,0,0.159727797523374,0.15972363948822,9246650,0,0.755208333333333,0,1
"1021",1379,"relu",0.001,"(10,)",800,"lbfgs",14.5,0.743133433283358,0.028580588617832,0.140292763477191,0.140282273292542,8108285.5,0,0.159046273503918,0.159032225608826,9182869.5,0,0.765625,0,1
