"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"328",391,"logistic",2e-04,"(2,)",400,"adam",14.5,0.3875,0.07806247497998,0.179637295994326,0.179620862007141,10351505.5,0,0.138718181508011,0.138705968856812,7989848,0,0.277777777777778,0,1
"438",994,"tanh",2e-04,"(10,)",800,"adam",14.5,0.61875,0.0723489806424389,0.398291298493859,0.398259520530701,22967440.5,0,0.156528541498119,0.156514644622803,8993354.5,0,0.537037037037037,0,1
"469",490,"logistic",1e-04,"(2,)",800,"adam",14.5,0.4875,0.0612372435695794,0.359194736496647,0.359255313873291,20714150,0,0.139586860499548,0.139574646949768,8052286,0,0.407407407407407,0,1
"471",1066,"tanh",1e-04,"(2,)",800,"adam",14.5,0.49375,0.0667317390751957,0.361440738008241,0.361415982246399,20896248,0,0.13995025701297,0.139937877655029,8084604.5,0,0.37037037037037,0,1
"484",106,"logistic",0.002,"(2,)",800,"adam",14.5,0.475,0.0667317390751957,0.358716801507398,0.358683466911316,20697456.5,0,0.139494165487122,0.139482021331787,8045327.5,0,0.407407407407407,0,1
"489",1102,"tanh",1e-04,"(20,)",800,"adam",14.5,0.70625,0.0728868986855662,0.444486240987317,0.444451928138733,25656977,0,0.17412817600416,0.174114584922791,10026219.5,0,0.62962962962963,0,1
"492",1006,"tanh",2e-04,"(20,)",800,"adam",14.5,0.7125,0.0637377439199098,0.445251404991723,0.445215344429016,25672632.5,0,0.175035690499499,0.175020098686218,10069553.5,0,0.611111111111111,0,1
"533",214,"logistic",0.001,"(5,)",800,"adam",14.5,0.525,0.0775604602874428,0.372397272993112,0.372384071350098,21493445,0,0.143489132511604,0.143476486206055,8267282,0,0.444444444444444,0,1
"546",1018,"tanh",2e-04,"(50,)",800,"adam",14.5,0.71875,0.0684653196881458,12.2517028475122,0.767318725585938,62841238.5,0,3.25093673499214,0.272810816764832,20948645,0,0.648148148148148,0,1
"618",962,"tanh",2e-04,"(2,)",100,"lbfgs",14.5,0.35625,0.0507752400289748,0.00595503898512106,0.00595533847808838,337584.5,0,0.135921531011263,0.135934352874756,7776348,0,0.240740740740741,0,1
"785",233,"logistic",0.001,"(20,)",200,"lbfgs",14.5,0.64375,0.0980274196334883,0.116375436002158,0.116371035575867,6726241,0,0.164906763500767,0.164892315864563,9505194,0,0.592592592592593,0,1
"817",305,"logistic",5e-04,"(5,)",200,"lbfgs",14.5,0.6125,0.0701560760020114,0.101628807518864,0.101619958877563,5860885.5,0,0.14433123949857,0.144318461418152,8331888,0,0.555555555555556,0,1
"929",236,"logistic",0.001,"(20,)",400,"lbfgs",14.5,0.63125,0.0976281209488332,0.225361714998144,0.225341081619263,13010861.5,0,0.163481296985992,0.163466691970825,9420935,0,0.611111111111111,0,1
"958",404,"logistic",2e-04,"(5,)",400,"lbfgs",14.5,0.56875,0.0364434493427831,0.185483553999802,0.185466647148132,10738681,0,0.14370274652174,0.143690228462219,8283274,0,0.592592592592593,0,1
"964",20,"logistic",0.001,"(5,)",400,"lbfgs",14.5,0.575,0.0467707173346743,0.190353924990632,0.190339207649231,10964663,0,0.143668258998721,0.143659472465515,8286355.5,0,0.592592592592593,0,1
"970",116,"logistic",0.002,"(5,)",400,"lbfgs",14.5,0.58125,0.0467707173346743,0.186910393997096,0.186893582344055,10790103,0,0.143739849500889,0.143726944923401,8288431,0,0.574074074074074,0,1
"1114",119,"logistic",0.002,"(5,)",800,"lbfgs",14.5,0.6,0.0306186217847897,0.369025434978539,0.369066119194031,21229468,0,0.143999844504378,0.14398729801178,8297189,0,0.592592592592593,0,1
