"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"320",643,"tanh",0.001,"(100,)",400,"adam",14.5,0.5875,0.193043065143506,0.53657552948971,0.0349911451339722,2407098.5,0,3.31883815200126,0.340251803398132,24060393.5,0,0.333333333333333,0,1
"453",1126,"tanh",1e-04,"(100,)",800,"adam",14.5,0.59375,0.204442840422452,0.535976147486508,0.0350685119628906,2409540.5,0,3.31772056750196,0.339326143264771,24008666.5,0,0.333333333333333,0,1
"459",934,"tanh",5e-04,"(100,)",800,"adam",14.5,0.575,0.186035950826715,0.536081727994315,0.0350704193115234,2404749,0,3.31872350499543,0.339592456817627,24146361.5,0,0.333333333333333,0,1
"489",1102,"tanh",1e-04,"(20,)",800,"adam",14.5,0.70625,0.0728868986855662,0.444486240987317,0.444451928138733,25656977,0,0.17412817600416,0.174114584922791,10026219.5,0,0.62962962962963,0,1
"492",1006,"tanh",2e-04,"(20,)",800,"adam",14.5,0.7125,0.0637377439199098,0.445251404991723,0.445215344429016,25672632.5,0,0.175035690499499,0.175020098686218,10069553.5,0,0.611111111111111,0,1
"546",1018,"tanh",2e-04,"(50,)",800,"adam",14.5,0.71875,0.0684653196881458,12.2517028475122,0.767318725585938,62841238.5,0,3.25093673499214,0.272810816764832,20948645,0,0.648148148148148,0,1
"578",1658,"relu",1e-04,"(10,)",100,"lbfgs",14.5,0.6375,0.0728868986855663,0.0564361015094619,0.0564315319061279,3265586.5,0,0.183135770014815,0.183119177818298,10560153,0,0.592592592592593,0,1
"581",1562,"relu",2e-04,"(10,)",100,"lbfgs",14.5,0.625,0.0790569415042095,0.0548062745074276,0.0548117160797119,3168204.5,0,0.182488249003654,0.182472109794617,10526126.5,0,0.574074074074074,0,1
"638",1478,"relu",5e-04,"(20,)",100,"lbfgs",14.5,0.66875,0.0579601155968481,0.0575642720068572,0.057559609413147,3325675,0,0.184262096016027,0.184245824813843,10629642,0,0.592592592592593,0,1
"675",878,"tanh",5e-04,"(5,)",100,"lbfgs",14.5,0.35625,0.0507752400289748,0.00531092550954781,0.00531113147735596,314300,0,0.139499527002044,0.139487266540527,8060526,0,0.240740740740741,0,1
"692",1490,"relu",5e-04,"(50,)",100,"lbfgs",14.5,0.6875,0.0559016994374947,1.43598564199965,0.0919467210769653,6726514.5,0,3.21586943649527,0.238701105117798,18436842,0,0.574074074074074,0,1
"1388",1647,"relu",1e-04,"(5,)",200,"sgd",14.5,0.3625,0.0423895623945329,0.0128324339948449,0.0128318071365356,748930.5,0,0.174982794502284,0.174967169761658,10086979.5,0,0.240740740740741,0,1
"1712",1725,"relu",1e-04,"(500,)",800,"sgd",14.5,0.55,0.0579601155968481,0.398654562000957,0.0249171257019043,2160517.5,0,6.70980844448786,0.419344663619995,36426909,0,0.425925925925926,0,1
"1715",1629,"relu",2e-04,"(500,)",800,"sgd",14.5,0.525,0.0723489806424389,0.390931722999085,0.0244375467300415,2134028,0,6.7780123879993,0.423604011535645,36830655.5,0,0.425925925925926,0,1
"1723",1437,"relu",0.001,"(500,)",800,"sgd",14.5,0.54375,0.0467707173346743,0.39365854049538,0.0246046781539917,2141688.5,0,6.44148981147737,0.402574181556702,35048799.5,0,0.425925925925926,0,1
