"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"489",1102,"tanh",1e-04,"(20,)",800,"adam",14.5,0.70625,0.0728868986855662,0.444486240987317,0.444451928138733,25656977,0,0.17412817600416,0.174114584922791,10026219.5,0,0.62962962962963,0,1
"492",1006,"tanh",2e-04,"(20,)",800,"adam",14.5,0.7125,0.0637377439199098,0.445251404991723,0.445215344429016,25672632.5,0,0.175035690499499,0.175020098686218,10069553.5,0,0.611111111111111,0,1
"546",1018,"tanh",2e-04,"(50,)",800,"adam",14.5,0.71875,0.0684653196881458,12.2517028475122,0.767318725585938,62841238.5,0,3.25093673499214,0.272810816764832,20948645,0,0.648148148148148,0,1
"578",1658,"relu",1e-04,"(10,)",100,"lbfgs",14.5,0.6375,0.0728868986855663,0.0564361015094619,0.0564315319061279,3265586.5,0,0.183135770014815,0.183119177818298,10560153,0,0.592592592592593,0,1
"581",1562,"relu",2e-04,"(10,)",100,"lbfgs",14.5,0.625,0.0790569415042095,0.0548062745074276,0.0548117160797119,3168204.5,0,0.182488249003654,0.182472109794617,10526126.5,0,0.574074074074074,0,1
"636",998,"tanh",2e-04,"(20,)",100,"lbfgs",14.5,0.46875,0.0861503047005639,0.0411753255029907,0.0411721467971802,2379022,0,0.155558082500647,0.155544281005859,8970404.5,0,0.351851851851852,0,1
"638",1478,"relu",5e-04,"(20,)",100,"lbfgs",14.5,0.66875,0.0579601155968481,0.0575642720068572,0.057559609413147,3325675,0,0.184262096016027,0.184245824813843,10629642,0,0.592592592592593,0,1
"670",398,"logistic",2e-04,"(5,)",100,"lbfgs",14.5,0.55625,0.0414578098794425,0.0493413959920872,0.0493375062942505,2854607,0,0.144551604986191,0.144538998603821,8344552.5,0,0.537037037037037,0,1
"682",110,"logistic",0.002,"(5,)",100,"lbfgs",14.5,0.56875,0.0667317390751957,0.0530917234864319,0.0530873537063599,3063621.5,0,0.143867737511755,0.143863916397095,8303690,0,0.537037037037037,0,1
"816",977,"tanh",2e-04,"(5,)",200,"lbfgs",14.5,0.35625,0.0507752400289748,0.00529935849044705,0.00529968738555908,316130.5,0,0.139392770499398,0.139380693435669,8033152.5,0,0.240740740740741,0,1
"872",1472,"relu",5e-04,"(10,)",400,"lbfgs",14.5,0.6875,0.0592927061281571,0.160025343997404,0.160010933876038,9225683.5,0,0.183046602498507,0.183034181594849,10548252,0,0.592592592592593,0,1
"924",1004,"tanh",2e-04,"(20,)",400,"lbfgs",14.5,0.4875,0.0852386356061616,0.0412556395058346,0.041252613067627,2376154,0,0.155831133495667,0.155817627906799,8957680,0,0.351851851851852,0,1
"956",1652,"relu",1e-04,"(5,)",400,"lbfgs",14.5,0.525,0.151038074669932,0.0460746010066941,0.0460728406906128,2658379,0,0.178400104981847,0.178384065628052,10268467.5,0,0.518518518518518,0,1
"1068",1007,"tanh",2e-04,"(20,)",800,"lbfgs",14.5,0.45625,0.0755190373349661,0.0411601889836675,0.0411572456359863,2373499,0,0.156247634004103,0.156233906745911,9016487,0,0.351851851851852,0,1
"1399",1359,"relu",0.001,"(5,)",200,"sgd",14.5,0.3625,0.0423895623945329,0.0128210770017176,0.0128204822540283,752500,0,0.174941421006224,0.174925923347473,10103917,0,0.240740740740741,0,1
