"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"312",1027,"tanh",2e-04,"(100,)",400,"adam",14.5,0.56875,0.176112535045067,0.533738786496542,0.0348808765411377,2415552,0,3.31735874950391,0.338876485824585,23987579.5,0,0.333333333333333,0,1
"456",1030,"tanh",2e-04,"(100,)",800,"adam",14.5,0.59375,0.204442840422452,0.532271337498969,0.0349512100219727,2413751,0,3.31708734949643,0.33869457244873,24024779.5,0,0.333333333333333,0,1
"489",1102,"tanh",1e-04,"(20,)",800,"adam",14.5,0.70625,0.0728868986855662,0.444486240987317,0.444451928138733,25656977,0,0.17412817600416,0.174114584922791,10026219.5,0,0.62962962962963,0,1
"492",1006,"tanh",2e-04,"(20,)",800,"adam",14.5,0.7125,0.0637377439199098,0.445251404991723,0.445215344429016,25672632.5,0,0.175035690499499,0.175020098686218,10069553.5,0,0.611111111111111,0,1
"546",1018,"tanh",2e-04,"(50,)",800,"adam",14.5,0.71875,0.0684653196881458,12.2517028475122,0.767318725585938,62841238.5,0,3.25093673499214,0.272810816764832,20948645,0,0.648148148148148,0,1
"578",1658,"relu",1e-04,"(10,)",100,"lbfgs",14.5,0.6375,0.0728868986855663,0.0564361015094619,0.0564315319061279,3265586.5,0,0.183135770014815,0.183119177818298,10560153,0,0.592592592592593,0,1
"581",1562,"relu",2e-04,"(10,)",100,"lbfgs",14.5,0.625,0.0790569415042095,0.0548062745074276,0.0548117160797119,3168204.5,0,0.182488249003654,0.182472109794617,10526126.5,0,0.574074074074074,0,1
"638",1478,"relu",5e-04,"(20,)",100,"lbfgs",14.5,0.66875,0.0579601155968481,0.0575642720068572,0.057559609413147,3325675,0,0.184262096016027,0.184245824813843,10629642,0,0.592592592592593,0,1
"692",1490,"relu",5e-04,"(50,)",100,"lbfgs",14.5,0.6875,0.0559016994374947,1.43598564199965,0.0919467210769653,6726514.5,0,3.21586943649527,0.238701105117798,18436842,0,0.574074074074074,0,1
"816",977,"tanh",2e-04,"(5,)",200,"lbfgs",14.5,0.35625,0.0507752400289748,0.00529935849044705,0.00529968738555908,316130.5,0,0.139392770499398,0.139380693435669,8033152.5,0,0.240740740740741,0,1
"990",728,"tanh",0.002,"(50,)",400,"lbfgs",14.5,0.69375,0.0914296177395487,6.37698453752091,0.400453209877014,32071573,0,3.23076277947985,0.25494396686554,19502208.5,0,0.592592592592593,0,1
"1399",1359,"relu",0.001,"(5,)",200,"sgd",14.5,0.3625,0.0423895623945329,0.0128210770017176,0.0128204822540283,752500,0,0.174941421006224,0.174925923347473,10103917,0,0.240740740740741,0,1
"1427",1623,"relu",2e-04,"(500,)",200,"sgd",14.5,0.5,0.0655505530106345,0.390876229001151,0.0244308710098267,2140649.5,0,6.69976592150124,0.418712854385376,36342192.5,0,0.425925925925926,0,1
"1712",1725,"relu",1e-04,"(500,)",800,"sgd",14.5,0.55,0.0579601155968481,0.398654562000957,0.0249171257019043,2160517.5,0,6.70980844448786,0.419344663619995,36426909,0,0.425925925925926,0,1
"1715",1629,"relu",2e-04,"(500,)",800,"sgd",14.5,0.525,0.0723489806424389,0.390931722999085,0.0244375467300415,2134028,0,6.7780123879993,0.423604011535645,36830655.5,0,0.425925925925926,0,1
"1723",1437,"relu",0.001,"(500,)",800,"sgd",14.5,0.54375,0.0467707173346743,0.39365854049538,0.0246046781539917,2141688.5,0,6.44148981147737,0.402574181556702,35048799.5,0,0.425925925925926,0,1
