"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"328",391,"logistic",2e-04,"(2,)",400,"adam",14.5,0.3875,0.07806247497998,0.179637295994326,0.179620862007141,10351505.5,0,0.138718181508011,0.138705968856812,7989848,0,0.277777777777778,0,1
"389",211,"logistic",0.001,"(5,)",400,"adam",14.5,0.475,0.0637377439199098,0.186775139518431,0.186787605285645,10793032.5,0,0.143087273994752,0.143074631690979,8265176,0,0.425925925925926,0,1
"484",106,"logistic",0.002,"(2,)",800,"adam",14.5,0.475,0.0667317390751957,0.358716801507398,0.358683466911316,20697456.5,0,0.139494165487122,0.139482021331787,8045327.5,0,0.407407407407407,0,1
"509",1618,"relu",2e-04,"(200,)",800,"adam",14.5,0.425,0.247329486717617,15.1454544094886,0.946539878845215,82306521.5,0,5.03731814898492,0.314815044403076,27349447.5,0,0.740740740740741,0,1
"512",1522,"relu",5e-04,"(200,)",800,"adam",14.5,0.43125,0.252642286642597,15.2406709780007,0.952502727508545,82809480,0,5.02386096447299,0.313980340957642,27227134,0,0.722222222222222,0,1
"529",310,"logistic",5e-04,"(5,)",800,"adam",14.5,0.525,0.0775604602874428,0.371591098504723,0.371633291244507,21434210,0,0.143246419997013,0.143233776092529,8276163,0,0.444444444444444,0,1
"677",206,"logistic",0.001,"(5,)",100,"lbfgs",14.5,0.5625,0.0625,0.0542585664952639,0.0542538166046143,3127647,0,0.14353382250556,0.143521308898926,8296426.5,0,0.537037037037037,0,1
"765",869,"tanh",5e-04,"(2,)",200,"lbfgs",14.5,0.35625,0.0507752400289748,0.00552618850269937,0.00552642345428467,324278.5,0,0.134704106007121,0.134740233421326,7790935,0,0.240740740740741,0,1
"921",1100,"tanh",1e-04,"(20,)",400,"lbfgs",14.5,0.49375,0.0870524267324007,0.232568826992065,0.232547640800476,13420283.5,0,0.156971514486941,0.156957745552063,9049048.5,0,0.62962962962963,0,1
"964",20,"logistic",0.001,"(5,)",400,"lbfgs",14.5,0.575,0.0467707173346743,0.190353924990632,0.190339207649231,10964663,0,0.143668258998721,0.143659472465515,8286355.5,0,0.592592592592593,0,1
"1021",1379,"relu",0.001,"(10,)",800,"lbfgs",14.5,0.66875,0.0939581023648307,0.395631469498767,0.395598888397217,22827334.5,0,0.183508967522357,0.183492541313171,10570652.5,0,0.685185185185185,0,1
"1076",623,"tanh",0.001,"(20,)",800,"lbfgs",14.5,0.50625,0.147107528699248,0.446848330488137,0.446812033653259,25804347,0,0.159562849003123,0.15954864025116,9218329.5,0,0.666666666666667,0,1
"1133",1307,"relu",0.002,"(50,)",800,"lbfgs",14.5,0.69375,0.057282196186948,11.4466083539983,0.717489361763,60295133.5,0,3.22004723348073,0.243144631385803,19482098,0,0.703703703703704,0,1
"1135",575,"logistic",1e-04,"(500,)",800,"lbfgs",14.5,0.6375,0.105697090783049,58.8068846965034,3.67524683475494,317910014,0,15.7023639349973,0.981348395347595,84912929.5,0,0.777777777777778,0,1
