"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"509",1618,"relu",2e-04,"(200,)",800,"adam",14.5,0.425,0.247329486717617,15.1454544094886,0.946539878845215,82306521.5,0,5.03731814898492,0.314815044403076,27349447.5,0,0.740740740740741,0,1
"670",398,"logistic",2e-04,"(5,)",100,"lbfgs",14.5,0.55625,0.0414578098794425,0.0493413959920872,0.0493375062942505,2854607,0,0.144551604986191,0.144538998603821,8344552.5,0,0.537037037037037,0,1
"671",1550,"relu",2e-04,"(5,)",100,"lbfgs",14.5,0.51875,0.143341811764746,0.0493799700343516,0.0493758916854858,2850884,0,0.178330794478825,0.178317546844482,10284916,0,0.592592592592593,0,1
"679",1358,"relu",0.001,"(5,)",100,"lbfgs",14.5,0.49375,0.120869247536336,0.0561109145019145,0.0561062097549438,3240989,0,0.178370887511846,0.178354859352112,10286014.5,0,0.611111111111111,0,1
"737",1277,"relu",0.002,"(10,)",200,"lbfgs",14.5,0.65,0.057282196186948,0.11652345249604,0.116513013839722,6722121,0,0.183570736524416,0.183554291725159,10580081,0,0.648148148148148,0,1
"816",977,"tanh",2e-04,"(5,)",200,"lbfgs",14.5,0.35625,0.0507752400289748,0.00529935849044705,0.00529968738555908,316130.5,0,0.139392770499398,0.139380693435669,8033152.5,0,0.240740740740741,0,1
"956",1652,"relu",1e-04,"(5,)",400,"lbfgs",14.5,0.525,0.151038074669932,0.0460746010066941,0.0460728406906128,2658379,0,0.178400104981847,0.178384065628052,10268467.5,0,0.518518518518518,0,1
"994",476,"logistic",2e-04,"(500,)",400,"lbfgs",14.5,0.6875,0.104582503316759,28.7471723349881,1.79661798477173,155625212.5,0,16.0996645889973,1.00619423389435,86993033,0,0.759259259259259,0,1
"1020",1187,"relu",0.001,"(10,)",800,"lbfgs",14.5,0.66875,0.0939581023648307,0.394688291005878,0.394651532173157,22769686,0,0.183642980999139,0.183626651763916,10587558.5,0,0.685185185185185,0,1
"1068",1007,"tanh",2e-04,"(20,)",800,"lbfgs",14.5,0.45625,0.0755190373349661,0.0411601889836675,0.0411572456359863,2373499,0,0.156247634004103,0.156233906745911,9016487,0,0.351851851851852,0,1
"1133",1307,"relu",0.002,"(50,)",800,"lbfgs",14.5,0.69375,0.057282196186948,11.4466083539983,0.717489361763,60295133.5,0,3.22004723348073,0.243144631385803,19482098,0,0.703703703703704,0,1
"1135",575,"logistic",1e-04,"(500,)",800,"lbfgs",14.5,0.6375,0.105697090783049,58.8068846965034,3.67524683475494,317910014,0,15.7023639349973,0.981348395347595,84912929.5,0,0.777777777777778,0,1
