"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"40",385,"logistic",2e-04,"(2,)",100,"adam",14.5,0.661103047895501,0.0929740963012439,0.0751703129899397,0.0751655101776123,4264698.5,0,0.117830169008812,0.117823123931885,6679091,0,0.784090909090909,0,1
"275",1624,"relu",2e-04,"(500,)",200,"adam",14.5,0.923802612481858,0.0362670495190374,15.7471523730055,0.984145045280457,86000481,0,10.714964847517,0.669653058052063,58174625,0,0.931818181818182,0,1
"308",1699,"relu",1e-04,"(100,)",400,"adam",14.5,0.920029027576198,0.0349911749074767,12.2119621550082,0.763214707374573,66283522,0,4.70710517853149,0.294179558753967,25531092.5,0,0.920454545454545,0,1
"475",298,"logistic",5e-04,"(2,)",800,"adam",14.5,0.813642960812772,0.0456813266612113,0.578085547022056,0.578034400939941,33350561.5,0,0.115651751984842,0.115641474723816,6681104.5,0,0.840909090909091,0,1
"494",1486,"relu",5e-04,"(20,)",800,"adam",14.5,0.908635703918723,0.0439497059420381,13.2022438669956,0.826878190040588,70689333,0,3.19044300900714,0.219816923141479,18195114,0,0.920454545454545,0,1
"615",1058,"tanh",1e-04,"(2,)",100,"lbfgs",14.5,0.870537010159652,0.0262047237937703,0.0253094020154094,0.0253080129623413,1454006,0,0.116324038515813,0.116316437721252,6704664,0,0.852272727272727,0,1
"619",290,"logistic",5e-04,"(2,)",100,"lbfgs",14.5,0.866908563134978,0.043107660998258,0.0280214524973417,0.0280197858810425,1615718.5,0,0.116078189479595,0.116093039512634,6700391.5,0,0.875,0,1
"675",878,"tanh",5e-04,"(5,)",100,"lbfgs",14.5,0.889840348330915,0.0247177950157769,0.0650137320335489,0.065008282661438,3755240,0,0.124300385501556,0.124289631843567,7184643.5,0,0.886363636363636,0,1
"680",590,"tanh",0.001,"(5,)",100,"lbfgs",14.5,0.904862119013062,0.0399356051099895,0.0598702169936587,0.0598673820495605,3468405.5,0,0.124947855001665,0.124936938285828,7227123.5,0,0.863636363636364,0,1
"689",1586,"relu",2e-04,"(50,)",100,"lbfgs",14.5,0.912626995645864,0.0348930603765524,1.21371556652593,0.0758562088012695,6538282.5,0,3.86555980148842,0.241587162017822,20892860.5,0,0.909090909090909,0,1
"772",101,"logistic",0.002,"(2,)",200,"lbfgs",14.5,0.889695210449927,0.0346967578748387,0.077635656518396,0.0776293277740479,4504108.5,0,0.117856017488521,0.117845892906189,6876936,0,0.897727272727273,0,1
"907",296,"logistic",5e-04,"(2,)",400,"lbfgs",14.5,0.859361393323658,0.0553856499007301,0.0276362900622189,0.0276346206665039,1614406.5,0,0.115744153008563,0.115733861923218,6693190,0,0.875,0,1
"916",104,"logistic",0.002,"(2,)",400,"lbfgs",14.5,0.878374455732946,0.0304602887066346,0.0773270309582585,0.0773228406906128,4468006,0,0.116020836983807,0.116013050079346,6715376,0,0.897727272727273,0,1
"1048",395,"logistic",2e-04,"(2,)",800,"lbfgs",14.5,0.859143686502177,0.0430012460259511,0.0286029284470715,0.0286010503768921,1651393.5,0,0.11570240999572,0.115692377090454,6686781,0,0.875,0,1
"1604",1701,"relu",1e-04,"(100,)",800,"sgd",14.5,0.920174165457184,0.0345293969618877,22.621092920017,1.41374778747559,122777486,0,4.74278284798493,0.296419739723206,25740229.5,0,0.897727272727273,0,1
