"","config","activation","alpha","hidden_layer_sizes","max_iter","solver","rpt","mean_test_score","std_test_score","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","DominanceCount","PF"
"134",1525,"relu",5e-04,"(500,)",100,"adam",14.5,0.920029027576197,0.0408432283696349,7.90036367499852,0.493747472763062,43137035,0,10.7966711660047,0.674760937690735,58585574.5,0,0.920454545454545,0,1
"179",1312,"relu",0.002,"(100,)",200,"adam",14.5,0.916255442670537,0.0355524119766641,6.15931915145484,0.384937405586243,33406316.5,0,4.81322559548425,0.300812840461731,25997125.5,0,0.920454545454545,0,1
"218",1708,"relu",1e-04,"(200,)",200,"adam",14.5,0.920101596516691,0.0252185160304954,8.67201580449182,0.541976809501648,47073701.5,0,6.88037208302194,0.430000185966492,37100003,0,0.920454545454545,0,1
"275",1624,"relu",2e-04,"(500,)",200,"adam",14.5,0.923802612481858,0.0362670495190374,15.7471523730055,0.984145045280457,86000481,0,10.714964847517,0.669653058052063,58174625,0,0.931818181818182,0,1
"681",782,"tanh",0.001,"(5,)",100,"lbfgs",14.5,0.904862119013062,0.0399356051099895,0.059770152000965,0.0597653388977051,3461539.5,0,0.125266189008471,0.125260710716248,7237042,0,0.863636363636364,0,1
"684",686,"tanh",0.002,"(5,)",100,"lbfgs",14.5,0.901233671988389,0.0402390685242028,0.0516147954913322,0.0516109466552734,2976982,0,0.125268619507551,0.125257611274719,7241162,0,0.863636363636364,0,1
"689",1586,"relu",2e-04,"(50,)",100,"lbfgs",14.5,0.912626995645864,0.0348930603765524,1.21371556652593,0.0758562088012695,6538282.5,0,3.86555980148842,0.241587162017822,20892860.5,0,0.909090909090909,0,1
"811",497,"logistic",1e-04,"(5,)",200,"lbfgs",14.5,0.863207547169811,0.029818682731374,0.0235794600012014,0.0235780477523804,1366055.5,0,0.122519686512533,0.122508883476257,7110485.5,0,0.875,0,1
"813",1073,"tanh",1e-04,"(5,)",200,"lbfgs",14.5,0.886066763425254,0.0312366933000049,0.0276437375432579,0.0276420116424561,1617886,0,0.124249023501761,0.124238133430481,7181042.5,0,0.897727272727273,0,1
"828",689,"tanh",0.002,"(5,)",200,"lbfgs",14.5,0.897460087082729,0.0566491574972534,0.0514497364638373,0.0514457225799561,2974082.5,0,0.125332414994773,0.125325202941895,7247784.5,0,0.863636363636364,0,1
"901",488,"logistic",1e-04,"(2,)",400,"lbfgs",14.5,0.855370101596517,0.0460933323659843,0.0212678845273331,0.0212666988372803,1242123,0,0.11622941904352,0.116219401359558,6721907,0,0.852272727272727,0,1
"903",1064,"tanh",1e-04,"(2,)",400,"lbfgs",14.5,0.870537010159652,0.0262047237937703,0.0249692835523092,0.0249675512313843,1447475.5,0,0.122545910999179,0.122535347938538,7048231,0,0.852272727272727,0,1
