"","config","rpt","mean_test_score","std_test_score","activation","alpha","hidden_layer_sizes","max_iter","solver","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","act","hls","sol","PF"
"20251",675,0,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147862235997309,0.14784836769104,8211894,0,0.113617148999765,0.113607168197632,6493879,0,0.640625,3,2,2,TRUE
"20252",675,1,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147478735998448,0.147465705871582,8242105,0,0.113472583994735,0.113462686538696,6535934,0,0.640625,3,2,2,TRUE
"20253",675,2,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146218201000011,0.146204710006714,8063945,0,0.113393069012091,0.113383531570435,6497968,0,0.640625,3,2,2,TRUE
"20254",675,3,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147515335993376,0.147502422332764,8783852,0,0.114167377003469,0.114161491394043,6740583,0,0.640625,3,2,2,TRUE
"20255",675,4,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146689223998692,0.146676301956177,8441812,0,0.112884878995828,0.112875461578369,6515181,0,0.640625,3,2,2,TRUE
"20256",675,5,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147260091005592,0.147247076034546,8482034,0,0.113335849979194,0.113326072692871,6521650,0,0.640625,3,2,2,TRUE
"20257",675,6,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146880827000132,0.146867752075195,8464945,0,0.112589683994884,0.112579822540283,6500655,0,0.640625,3,2,2,TRUE
"20258",675,7,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.148459928052034,0.148446559906006,8585671,0,0.11207320203539,0.112063407897949,6499862,0,0.640625,3,2,2,TRUE
"20259",675,8,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146541516005527,0.146528482437134,8456399,0,0.113037859031465,0.113028049468994,6545454,0,0.640625,3,2,2,TRUE
"20260",675,9,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.158992260985542,0.15897798538208,9137062,0,0.124299911025446,0.124289035797119,7135847,0,0.640625,3,2,2,TRUE
"20261",675,10,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146504900010768,0.146500587463379,8509133,0,0.112819506961387,0.112809896469116,6561019,0,0.640625,3,2,2,TRUE
"20262",675,11,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.14680964697618,0.146796464920044,8526956,0,0.112885816022754,0.112879991531372,6550093,0,0.640625,3,2,2,TRUE
"20263",675,12,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147345867997501,0.147332668304443,8550759,0,0.113049541017972,0.11303973197937,6549544,0,0.640625,3,2,2,TRUE
"20264",675,13,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147764800989535,0.147751569747925,8208596,0,0.113292057008948,0.113282203674316,6504012,0,0.640625,3,2,2,TRUE
"20265",675,14,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.161831504083239,0.161816835403442,9349585,0,0.124920767033473,0.124913692474365,7175824,0,0.640625,3,2,2,TRUE
"20266",675,15,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.15887252392713,0.15885853767395,9471228,0,0.124722501961514,0.124711513519287,7432659,0,0.640625,3,2,2,TRUE
"20267",675,16,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146459701005369,0.146446704864502,8417703,0,0.113294349052012,0.113284349441528,6535506,0,0.640625,3,2,2,TRUE
"20268",675,17,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146687902975827,0.146674871444702,8483132,0,0.112775626010261,0.112765789031982,6540633,0,0.640625,3,2,2,TRUE
"20269",675,18,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.147224782034755,0.14721155166626,8508890,0,0.11289128602948,0.112881898880005,6508772,0,0.640625,3,2,2,TRUE
"20270",675,19,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.14743447501678,0.147421598434448,8534646,0,0.113805102999322,0.113795518875122,6634505,0,0.640625,3,2,2,TRUE
"20271",675,20,0.654512743628186,0.0349468283806404,"tanh",0.002,"(2,)",200,"sgd",0.146558869979344,0.146545648574829,8507791,0,0.112405148916878,0.112395524978638,6506940,0,0.640625,3,2,2,TRUE
