"","config","rpt","mean_test_score","std_test_score","activation","alpha","hidden_layer_sizes","max_iter","solver","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","act","hls","sol","PF"
"1831",61,0,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2288.90367218299,143.044130563736,12264221411,0,1132.90047459101,70.8011221885681,6113804295,0,0.667312224800395,2,50,1,TRUE
"1832",61,1,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2285.84163440403,142.853812456131,12254656007,0,1210.60591835901,75.6579587459564,6545695279,0,0.667312224800395,2,50,1,TRUE
"1833",61,2,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2240.02366144303,139.99055314064,12007181969,0,1173.60325089004,73.3455603122711,6354017548,0,0.667312224800395,2,50,1,TRUE
"1834",61,3,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2266.34881167393,141.634773492813,12159852965,0,1129.24807407893,70.5730431079865,6097270157,0,0.667312224800395,2,50,1,TRUE
"1835",61,4,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2285.68649719609,142.844095945358,12273300673,0,1164.4484934439,72.7732427120209,6302877176,0,0.667312224800395,2,50,1,TRUE
"1836",61,5,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2271.98836549791,141.986939430237,12178398755,0,1166.1809548391,72.8815817832947,6311383197,0,0.667312224800395,2,50,1,TRUE
"1837",61,6,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2283.6852628612,142.717910051346,12256451594,0,1169.03149632877,73.0594232082367,6330610198,0,0.667312224800395,2,50,1,TRUE
"1838",61,7,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2270.39601058606,141.887555599213,12200149431,0,1176.86251887586,73.5488133430481,6381917622,0,0.667312224800395,2,50,1,TRUE
"1839",61,8,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2284.33664944209,142.759741306305,12276486638,0,1155.1860827338,72.194554567337,6265650220,0,0.667312224800395,2,50,1,TRUE
"1840",61,9,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2287.66032335907,142.966168165207,12251039499,0,1135.78144212812,70.9810144901276,6119903706,0,0.667312224800395,2,50,1,TRUE
"1841",61,10,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2267.47606806643,141.705318927765,12132995489,0,1163.62555277813,72.7216351032257,6285255700,0,0.667312224800395,2,50,1,TRUE
"1842",61,11,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2267.37235838082,141.698995828629,12133385809,0,1137.0445613293,71.0605359077454,6124518805,0,0.667312224800395,2,50,1,TRUE
"1844",61,13,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2290.85953613184,143.166339159012,12277857180,0,1167.35042570159,72.9542281627655,6320913017,0,0.667312224800395,2,50,1,TRUE
"1845",61,14,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2268.99105542712,141.800165891647,12156546089,0,1136.73810298461,71.0410444736481,6142353905,0,0.667312224800395,2,50,1,TRUE
"1846",61,15,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2286.6980731301,142.906428337097,12263685158,0,1197.65592863038,74.8483755588531,6476919148,0,0.667312224800395,2,50,1,TRUE
"1847",61,16,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2276.53041458968,142.270553588867,12178956309,0,1137.01966525055,71.0586457252502,6128235716,0,0.667312224800395,2,50,1,TRUE
"1848",61,17,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2269.13007204607,141.808476686478,12140797228,0,1139.87854791805,71.2378618717194,6138340486,0,0.667312224800395,2,50,1,TRUE
"1849",61,18,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2282.56541234441,142.648518323898,12202347485,0,1138.06676661596,71.1244404315948,6132937913,0,0.667312224800395,2,50,1,TRUE
"1850",61,19,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2281.10974221583,142.558162212372,12224910720,0,1173.31321110018,73.3276190757751,6358459614,0,0.667312224800395,2,50,1,TRUE
"1851",61,20,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2202.26406331919,137.629859924316,11784010177,0,1131.2312531881,70.6971073150635,6091300812,0,0.667312224800395,2,50,1,TRUE
"1852",61,21,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2270.85852762684,141.916372537613,12204482246,0,1170.68679773808,73.1626799106598,6346825000,0,0.667312224800395,2,50,1,TRUE
"1854",61,23,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2259.51511364058,141.20815372467,12110323428,0,1129.17429354787,70.5689070224762,6091123506,0,0.667312224800395,2,50,1,TRUE
"1855",61,24,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2271.08963772655,141.93134355545,12165119370,0,1135.11575313471,70.9399757385254,6118889120,0,0.667312224800395,2,50,1,TRUE
"1856",61,25,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2289.76973178983,143.098792552948,12233468987,0,1148.29602858797,71.7636213302612,6187483733,0,0.667312224800395,2,50,1,TRUE
"1857",61,26,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2286.27788023651,142.879911899567,12238280377,0,1168.36853857525,73.0179493427277,6312700392,0,0.667312224800395,2,50,1,TRUE
"1858",61,27,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2282.24075717852,142.627957582474,12196309841,0,1135.48800963722,70.9628381729126,6108250293,0,0.667312224800395,2,50,1,TRUE
